project,month,prediction,target,train_strategy,model_arch
Accessibility Tools Framework,53,0.6989123953422991,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,54,0.6988095708754019,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,55,0.6964362051871704,graduated,Ec^ --> Ec^^,DLSTM
Accessibility Tools Framework,56,0.6389536207728398,graduated,Ec^ --> Ec^^,DLSTM
Activation,1,0.6301379639555036,graduated,Ec^ --> Ec^^,DLSTM
Activation,2,0.686703811150394,graduated,Ec^ --> Ec^^,DLSTM
Activation,3,0.6867259862329572,graduated,Ec^ --> Ec^^,DLSTM
Activation,4,0.6866408181047172,graduated,Ec^ --> Ec^^,DLSTM
Activation,5,0.6845516125015635,graduated,Ec^ --> Ec^^,DLSTM
Activation,6,0.6833258078638184,graduated,Ec^ --> Ec^^,DLSTM
Activation,7,0.6834026743695603,graduated,Ec^ --> Ec^^,DLSTM
Activation,8,0.6853656098496813,graduated,Ec^ --> Ec^^,DLSTM
Activation,9,0.6878180134082457,graduated,Ec^ --> Ec^^,DLSTM
Activation,10,0.6913185987623093,graduated,Ec^ --> Ec^^,DLSTM
Activation,11,0.6954246738519211,graduated,Ec^ --> Ec^^,DLSTM
Activation,12,0.6943234323259333,graduated,Ec^ --> Ec^^,DLSTM
Activation,13,0.6947714346970726,graduated,Ec^ --> Ec^^,DLSTM
Activation,14,0.6964401287461255,graduated,Ec^ --> Ec^^,DLSTM
Activation,15,0.6971443186050369,graduated,Ec^ --> Ec^^,DLSTM
Activation,16,0.697910185971403,graduated,Ec^ --> Ec^^,DLSTM
Activation,17,0.7004498578272712,graduated,Ec^ --> Ec^^,DLSTM
Activation,18,0.7007194228083522,graduated,Ec^ --> Ec^^,DLSTM
Activation,19,0.7020845689485827,graduated,Ec^ --> Ec^^,DLSTM
Activation,20,0.702144081457503,graduated,Ec^ --> Ec^^,DLSTM
Activation,21,0.702717371655588,graduated,Ec^ --> Ec^^,DLSTM
Activation,22,0.7034657499025041,graduated,Ec^ --> Ec^^,DLSTM
Activation,23,0.7036004158353345,graduated,Ec^ --> Ec^^,DLSTM
Activation,24,0.7033718928286102,graduated,Ec^ --> Ec^^,DLSTM
